estate,assessment_date,latitude,longitude,confidence,source_folder,frame_filename
Sungai Besar Jln 6 1_2,2026-07-28,3.68724352813261,101.0464513336494,0.6653400659561157,DJI_20260728103935_0001_D,frame_00068.jpg
Sungai Besar Jln 6 1_2,2026-07-28,3.68724100271576,101.0464527725523,0.5040341019630432,DJI_20260728104703_0002_D,frame_00076.jpg
Sungai Besar Jln 6 1_2,2026-07-28,3.68725730944984,101.0464772311634,0.6450390219688416,DJI_20260728104703_0002_D,frame_00156.jpg
Sungai Besar Jln 6 1_2,2026-07-28,3.68725569002834,101.0464770000097,0.4691730141639709,DJI_20260728104703_0002_D,frame_00161.jpg
Sungai Besar Jln 6 1_2,2026-07-28,3.68725470785515,101.0464765618084,0.8397648930549622,DJI_20260728104703_0002_D,frame_00162.jpg
Sungai Besar Jln 6 1_2,2026-07-28,3.68725544364119,101.0464766857726,0.9072009921073914,DJI_20260728104703_0002_D,frame_00163.jpg
Sungai Besar Jln 6 1_2,2026-07-28,3.6875348023054,101.0467807493244,0.7935724258422852,DJI_20260728104703_0002_D,frame_00317.jpg
Sungai Besar Jln 6 1_2,2026-07-28,3.68754256123883,101.0467858729936,0.7045918703079224,DJI_20260728104703_0002_D,frame_00318.jpg
Sungai Besar Jln 6 1_2,2026-07-28,3.68754513672127,101.0467884939601,0.9282060861587524,DJI_20260728104703_0002_D,frame_00319.jpg
Sungai Besar Jln 6 1_2,2026-07-28,3.68754775421632,101.046791636984,0.9181692004203796,DJI_20260728104703_0002_D,frame_00320.jpg
Sungai Besar Jln 6 1_2,2026-07-28,3.68754896572831,101.0467947916832,0.9349880218505859,DJI_20260728104703_0002_D,frame_00321.jpg
Sungai Besar Jln 6 1_2,2026-07-28,3.68756800610892,101.0468179979815,0.8059144020080566,DJI_20260728104703_0002_D,frame_00343.jpg
Sungai Besar Jln 6 1_2,2026-07-28,3.68756331015496,101.0468162992946,0.5996446013450623,DJI_20260728104703_0002_D,frame_00345.jpg
Sungai Besar Jln 6 1_2,2026-07-28,3.68755900163535,101.0468151906223,0.5776852369308472,DJI_20260728104703_0002_D,frame_00347.jpg
Sungai Besar Jln 6 1_2,2026-07-28,3.68755663720972,101.046828822251,0.8636161684989929,DJI_20260728104703_0002_D,frame_00352.jpg
Sungai Besar Jln 6 1_2,2026-07-28,3.68756067974086,101.0468249524056,0.4446548819541931,DJI_20260728104703_0002_D,frame_00353.jpg
Sungai Besar Jln 6 1_2,2026-07-28,3.68738867101402,101.0466953241398,0.7076238989830017,DJI_20260728104703_0002_D,frame_00393.jpg
Sungai Besar Jln 6 1_2,2026-07-28,3.68738955649996,101.0466924182617,0.8188498020172119,DJI_20260728104703_0002_D,frame_00394.jpg
Sungai Besar Jln 6 1_2,2026-07-28,3.68718618760683,101.0465228852263,0.5188780426979065,DJI_20260728104703_0002_D,frame_00430.jpg
Sungai Besar Jln 6 1_2,2026-07-28,3.68713641512441,101.0464793365626,0.840405285358429,DJI_20260728104703_0002_D,frame_00442.jpg
Sungai Besar Jln 6 1_2,2026-07-28,3.68712073554126,101.0467425022733,0.9155295491218567,DJI_20260728105952_0004_D,frame_00411.jpg
